문제,정답
다음의 두 가지 조치가 필요한 이유를 설명하시오. 1) chmod -s {파일명}	2) find / -user root -type f \( -perm -4000 -o -perm -2000 \) |xargs ls -al,"특수비트가 설정된 파일을 실행하는 경우 파일의 소유주(SetUID 설정시), 또는 소유그룹(SetGID 설정시) 권한으로 실행됨. 특히 root 가 소유주 또는 소유 그룹인 파일에 특수비트가 설정되면, 일반 사용자 계정으로 실행하더라도 root 권한으로 실행되어 악의적인 행위가 가능하기 때문임."
"네트워크 스니핑을 탐지하는 다양한 방법(ping, arp, dns, decoy) 중 Ping 명령을 이용한 방법을 설명하시오.","스니핑이 의심스러운 호스트에 NW에 존재하지 않은 MAC주소로 위조된 PING 메시지(ICMP Echo Request) 를 보낸다. ICMP Echo Reply가 돌아온다면, 해당 호스트는 무차별 모드로 스니핑 중인 것으로 판단할 수 있다. "
XSS(Cross Site Script) 공격의 공격 기법 중 Reflected XSS를 설명하시오.,"검색 결과, 에러 메시지 등을 통해 서버가 외부에서 입력받은 악성 스크립트가 포함된 URL 파라미터 값을 사용자 브라우저에서 응답하도록 허용할 때 발생한다. 공격 스크립트가 삽입된 URL을 사용자가 쉽게 확인할 수 없도록 변형하여, 이메일, 메신저, 파일 등을 통해 실행을 유도하는 기법이다."
소프트웨어 보안약점 진단을 위한 분석단계에서 제출해야 하는 산출물 4가지와 내용을 간략히 서술하시오.,"요구사항 정의서, 요구사항 추적표, 유즈케이스 명세서, 유즈케이스 다이어그램이 있다. 요구사항 정의서는 소프트웨어 개발에 필요한 요구사항(기능, 품질, 기술 등)을 도출하여 체계적으로 작성한 문서이며,요구사항 추적표는 요구사항을 기반으로 개발 각 단계별로 작성한 산출물들을 추적할 수 있도록 작성된 문서이다. 유즈케이스 명세서는 유즈케이스 다이어그램에 표현된 각 유즈케이스를 상세하게 설명하는 문서이고, 유즈케이스 다이어그램는 액터(사용자) 관점에서 상호작용하는 시스템의 범위와 제공하는 기능(서비스)을 정의한 다이어그램이다"
네트워크 스니핑을 위한 방법 중 ping 명령을 이용한 탐지 방법을 서술하시오.,스니핑이 의심스러운 호스트에 해당 네트워크에 존재하지 않는 MAC 주소로 위조한 ping 메시지(ICMP Echo Request 메시지)를 보내 응답 메시지(ICMP Echo Reply 메시지)가 오면 무차별 모드(Promiscuous Mode)로 스니핑하는 것으로 판단할 수 있다.
악성코드 침투시 windows7 OS기준으로 대응방안 3가지를 작성하시오.,"보안 패치 및 업데이트 적용,안티바이러스 및 안티맬웨어 프로그램 사용,백업 및 복구 전략 수립"
BYOD 환경에서 모바일 오피스 서비스를 하려고 한다. 관련된 보안기술 'MDM'에 대하여 설명하시오.,"모바일 기기를 도난, 분실, 악용 등으로부터 보호하기 위하여 강화된 보안 정책(인증, 앱 화이트 리스트, 원격 삭제, 탈옥 탐지, 스크린 캡처 방지, 카메라 제어 등)을 적용하여 관리하기 위한 기술"
BYOD 환경에서 모바일 오피스 서비스를 하려고 한다. 관련된 보안기술 '컨테이너화'에 대하여 설명하시오.,하나의 모바일 기기 내에 업무용과 개인용 영역을 컨테이너라는 별도의 공간으로 분리하여 프라이버시를 보호하는 기술
BYOD 환경에서 모바일 오피스 서비스를 하려고 한다. 관련된 보안기술 '모바일 가상화'에 대하여 설명하시오.,"가상화 기술을 이용하여 하나의 모바일 기기에서 개인용 OS 영역과 업무용 OS 영역을 완전히 분리하는 기술. 평상시에는 개인용 OS 영역에서 모바일 기기를 이용하다가, 필요 시 업무용 OS로 전환하여 사용"
위험 분석 방법 중 하나인 '기준선 접근법' 에 대하여 개념과 장단점을 설명하시오,"기준선접근법은 모든 시스템에 대해 보호의 기본 수준을 정하고 이를 달성하기 위한 일련의 보호대책을 표준화된 체크리스트를 기반으로 선택하는 방식이다. 장점은 체크리스트의 각 항목별 준수 여부를 점검하는 방식으로 간단하게 위험분석을 수행할 수 있어, 위험 분석 시간을 절약할 수 있음. 소규모 조직에 적합함 등이고, 단점은 조직의 현황이 반영되지 않은 일률적인 기준으로 통제를 적용하는 경우 과보호 또는 부족한 보호가 될 가능성이 상존함. 체크리스트를 지속적으로 갱신하지 않으면 새로운 취약점과 같은 보안 환경의 변화를 적절하게 반영하기 어려움. 따라서, 자산 변동이 적거나 보안 환경의 변화에 크게 영향을 밪지 않는 자산에 한정하여 사용하는 것이 권장됨"
